cluster,genres
0.0,Action
0.0,Drama
0.0,Action
0.0,Action
0.0,Action
0.0,Action
0.0,Action
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Drama
1.0,Comedy
1.0,Action
1.0,Action
1.0,Drama
1.0,Drama
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Action
1.0,Action
1.0,Drama
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Action
1.0,Action
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Action
1.0,Comedy
1.0,Action
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Action
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Drama
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Action
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Comedy
1.0,Action
1.0,Action
1.0,Drama
1.0,Action
1.0,Action
1.0,Drama
1.0,Drama
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Action
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Drama
1.0,Action
1.0,Drama
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Action
1.0,Drama
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Action
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Comedy
1.0,Drama
1.0,Drama
1.0,Drama
1.0,Comedy
1.0,Comedy
1.0,Action
1.0,Action
1.0,Action
1.0,Comedy
1.0,Comedy
1.0,Drama
1.0,Action
1.0,Drama
1.0,Action
1.0,Action
1.0,Drama
1.0,Action
2.0,Drama
2.0,Comedy
2.0,Action
2.0,Action
2.0,Action
2.0,Action
2.0,Action
2.0,Drama
2.0,Comedy
2.0,Drama
2.0,Action
2.0,Comedy
2.0,Action
2.0,Action
2.0,Comedy
2.0,Action
2.0,Action
2.0,Action
2.0,Action
2.0,Comedy
2.0,Drama
2.0,Action
2.0,Comedy
2.0,Comedy
2.0,Action
2.0,Action
2.0,Action
2.0,Comedy
2.0,Comedy
2.0,Action
2.0,Drama
2.0,Action
2.0,Action
2.0,Action
2.0,Comedy
2.0,Drama
2.0,Action
2.0,Action
2.0,Action
2.0,Action
2.0,Comedy
2.0,Drama
2.0,Comedy
2.0,Action
2.0,Drama
2.0,Action
2.0,Comedy
2.0,Action
3.0,Comedy
3.0,Drama
3.0,Action
3.0,Drama
3.0,Drama
3.0,Comedy
3.0,Comedy
3.0,Drama
3.0,Drama
3.0,Comedy
3.0,Comedy
3.0,Drama
3.0,Action
3.0,Action
3.0,Comedy
3.0,Action
3.0,Action
3.0,Comedy
3.0,Comedy
3.0,Drama
3.0,Action
3.0,Action
3.0,Action
3.0,Action
3.0,Action
3.0,Action
3.0,Drama
3.0,Comedy
3.0,Action
3.0,Comedy
3.0,Comedy
3.0,Action
3.0,Action
3.0,Action
3.0,Drama
3.0,Action
3.0,Drama
3.0,Drama
3.0,Comedy
3.0,Comedy
3.0,Action
3.0,Action
3.0,Drama
3.0,Action
3.0,Action
3.0,Action
3.0,Action
3.0,Comedy
3.0,Comedy
3.0,Drama
3.0,Drama
3.0,Drama
3.0,Comedy
3.0,Action
3.0,Action
3.0,Comedy
3.0,Action
3.0,Action
3.0,Action
3.0,Comedy
3.0,Action
3.0,Drama
3.0,Drama
3.0,Action
3.0,Drama
3.0,Drama
3.0,Action
3.0,Comedy
3.0,Action
3.0,Drama
3.0,Drama
